x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8
0,388,0,429,0,316,0,367,0,379,0,515,0,482
0,312,0,322,0,297,0,322,0,426,0,532,0,553
0,464,0,401,0,387,0,392,0,467,0,489,0,578
0,533,0,369,0,387,0,321,0,532,0,420,0,608
0,485,0,494,0,454,0,289,0,420,0,428,0,605
0,515,0,420,0,450,0,416,0,416,0,392,0,442
0,737,0,327,0,365,0,333,0,430,0,538,0,503
10,494,10,496,10,410,10,309,10,383,10,426,10,535
10,524,10,357,10,336,10,347,10,457,10,497,10,546
10,386,10,440,10,369,10,333,10,391,10,432,10,525
10,456,10,433,10,387,10,385,10,429,10,401,10,495
10,491,10,296,10,358,10,366,10,410,10,439,10,584
10,557,10,446,10,452,10,478,10,454,10,397,10,462
10,354,10,332,10,365,10,292,10,424,10,410,10,616
30,497,30,355,30,402,30,352,30,442,30,461,30,523
30,500,30,337,30,377,30,377,30,378,30,470,30,502
30,387,30,366,30,301,30,357,30,406,30,454,30,557
30,479,30,370,30,398,30,372,30,435,30,490,30,500
30,542,30,420,30,376,30,357,30,496,30,522,30,500
30,507,30,361,30,456,30,353,30,421,30,503,30,506
30,615,30,398,30,313,30,309,30,376,30,510,30,450
50,596,50,390,50,392,50,328,50,492,50,372,50,532
50,1752,50,439,50,346,50,361,50,423,50,457,50,502
50,501,50,336,50,330,50,339,50,342,50,453,50,637
50,497,50,314,50,326,50,357,50,487,50,485,50,512
50,497,50,477,50,312,50,363,50,338,50,473,50,572
50,522,50,537,50,408,50,324,50,384,50,376,50,354
100,781,100,526,100,332,100,367,100,362,100,484,100,552
100,736,100,357,100,414,100,362,100,422,100,619,100,469
100,792,100,452,100,430,100,424,100,408,100,367,100,629
100,764,100,333,100,320,100,349,100,441,100,481,100,622
100,792,100,394,100,367,100,351,100,384,100,399,100,541
100,805,100,378,100,356,100,382,100,397,100,491,150,560
150,1014,150,533,150,334,150,400,150,354,150,440,150,492
150,1018,150,418,150,348,150,358,150,346,150,451,150,488
150,1032,150,440,150,364,150,365,150,398,150,481,150,668
150,1130,150,526,150,448,150,402,150,488,150,487,150,503
150,1020,150,453,150,359,150,437,150,428,150,457,150,591
150,1244,150,436,150,358,150,434,150,452,150,498,200,591
200,1279,200,591,200,389,200,395,200,447,200,462,200,516
200,1283,200,563,200,413,200,394,200,406,200,479,200,515
200,1434,200,627,200,428,200,377,200,472,200,460,200,571
200,1488,200,583,200,401,200,383,200,441,200,470,200,550
200,1319,200,581,200,439,200,410,200,450,200,464,200,536
200,1408,200,615,200,401,200,404,200,426,200,654,300,1145
300,1875,300,809,300,562,300,572,300,660,300,738,300,861
300,1832,300,795,300,543,300,574,300,634,300,769,300,894
300,1920,300,766,300,519,300,577,300,653,300,694,300,939
300,1864,300,796,300,531,300,558,300,686,300,753,300,848
300,1837,300,790,300,541,300,558,300,714,300,789,300,901
400,2396,300,776,300,538,300,539,300,633,300,770,400,2477
400,2266,400,962,400,799,400,796,400,876,400,1081,400,1518
400,2392,400,940,400,727,400,830,400,921,400,1056,400,1719
500,2770,400,951,400,725,400,731,400,892,400,1057,400,1777
500,2983,400,962,400,772,400,838,400,938,400,1051,400,1863
,,400,962,400,676,400,753,400,913,400,1051,400,2048
,,400,944,400,725,400,765,400,1028,400,1265,500,2509
,,500,1142,500,914,500,975,500,1168,500,1542,500,3283
,,500,1124,500,930,500,1040,500,1179,500,1531,500,4511
,,500,1119,500,926,500,1038,500,1160,500,1484,500,2970
,,500,1108,500,934,500,1043,500,1216,500,1475,500,3326
,,500,1125,500,890,500,1059,500,1160,500,1500,500,2813
,,500,1123,500,979,500,1014,500,1163,500,1514,,